Word,Length,Age_Of_Acquisition,LDT
narrow,6,7.57,579.9689999999999
narrowed,8,7.57,764.824
narrower,8,7.57,772.303
narrowing,9,7.57,775.1940000000001
narrowness,10,9.57,825.0619999999999
narrows,7,7.57,684.853
nasal,5,8.75,677.9669999999999
nastier,7,6,955.833
nastiest,8,6,1018.185
nasty,5,6,614.625
natal,5,13.07,763.348
nation,6,7.74,576.848
national,8,6.89,654.968
nationalism,11,12.39,762.581
nationalist,11,13.47,733
nationalistic,13,14.07,937.848
nationalists,12,13.47,826.8119999999999
nationality,11,9.84,830.353
nationalization,15,11.78,903.667
nationals,9,6.89,706.212
nations,7,7.74,656.2730000000001
nationwide,10,9,788.6880000000001
native,6,9.2,680.606
natives,7,8.354,684.484
nativity,8,9.62,844.8389999999999
natty,5,12.08,814.909
natural,7,8.5,670.606
naturalist,10,11.84,787.5619999999999
naturalistic,12,13.67,892.485
naturalization,14,11.71,888
naturalized,11,12.11,858.758
naturally,9,8.556,670.242
nature,6,6.16,568.909
natured,7,11.11,651.8389999999999
natures,7,6.16,671.3119999999999
naught,6,11.167,664.7040000000001
naughtier,9,4.9,816.8639999999999
naughty,7,4.9,644.9689999999999
nausea,6,8.63,697.625
nauseate,8,10.73,806.16
nauseous,8,8.94,796.7
nautical,8,11.39,824.8
nautilus,8,12.47,1006.4
naval,5,9.7,657.5619999999999
navel,5,9.6,674.586
navels,6,9.6,739.8149999999999
navigate,8,10.05,671.875
navigating,10,10.05,723.848
navigation,10,10.2,705.879
navigator,9,9.84,679.531
navigators,10,9.84,720.406
navy,4,7.15,605.212
nay,3,10.314,831.9619999999999
near,4,5.412,582.121
nearby,6,6.85,586.576
neared,6,5.412,738.222
nearer,6,5.412,735.5669999999999
nearest,7,5.412,669.25
nearing,7,5.412,792.731
nearly,6,7.49,650.029
nearness,8,7.35,784.0319999999999
nearside,8,10.83,760.333
nearsighted,11,9.44,785.8
neat,4,5.43,651.1880000000001
neatest,7,5.43,706.071
neatness,8,7.32,733.382
nebula,6,13.38,786.2
nebulous,8,13.27,885.2940000000001
necessaries,11,7.55,807.3
necessary,9,7.55,691.656
necessitate,11,13.22,1072.385
necessitated,12,13.22,1012.75
necessitates,12,13.22,860.625
necessitating,13,13.22,1130.217
necessities,11,9.53,818.531
necessity,9,9.53,739.471
neck,4,3,567.939
neckband,8,9.78,878.5669999999999
neckerchief,11,9.65,1180
necking,7,3,745.971
necklace,8,5,731.133
necklaces,9,5,706.9659999999999
neckline,8,10.53,713.903
necks,5,3,541.438
necktie,7,6.63,705.943
neckwear,8,11.58,893.143
necrophilia,11,15,971.857
necrosis,8,14.23,963.5
nectar,6,8.95,691.1519999999999
nectarine,9,8.94,902.731
need,4,3.56,613.636
needed,6,3.56,592.727
needing,7,3.56,678.161
needle,6,5.32,576.3639999999999
needled,7,5.32,726
needlepoint,11,9,839.2940000000001
needles,7,5.32,705.5
needless,8,9.15,725.118
needlework,10,9.88,744.656
needs,5,3.56,588.182
needy,5,7.32,668.3639999999999
nefarious,9,13.31,784.636
negate,6,13.11,747.069
negation,8,14.28,772
negative,8,7.47,668.353
negativism,10,12.32,774.3459999999999
neglect,7,9.84,721.515
neglected,9,9.84,687.258
neglecting,10,9.84,783.161
neglects,8,9.84,712.235
negligee,8,15.92,826.882
negligence,10,12.16,776.148
negligent,9,11.83,910.621
negligible,10,11.33,902
negotiable,10,12.58,733.438
negotiate,9,10.85,745.879
negotiated,10,10.85,671.2730000000001
negotiating,11,10.85,873.613
negotiation,11,11.74,828.2730000000001
negotiations,12,11.74,918.742
negotiator,10,11.42,760.161
negro,5,9.83,714.031
negroes,7,9.83,782.692
neigh,5,7.2,667.375
neighbor,8,5.06,750.0609999999999
neighborhood,12,6.47,761.433
neighborhoods,13,6.47,929.091
neighboring,11,10.9,769.394
neighbors,9,5.06,693.387
neither,7,6.744,698.7740000000001
nemesis,7,11.06,807.192
neoclassic,10,14.88,890.929
neon,4,8,582.1940000000001
neonatal,8,14.19,848.333
nephew,6,6.37,667.303
nephews,7,6.37,653.1880000000001
nepotism,8,13.75,788.5559999999999
nerve,5,9.67,564.03
nerves,6,9.67,649.323
nervous,7,6.79,587.515
nervousness,11,7.3,736.903
nervy,5,10.71,871.0419999999999
nest,4,5.11,648.938
nested,6,5.11,718.533
nester,6,12.93,1040.727
nests,5,5.11,624.742
net,3,7,596.3549999999999
nether,6,12.23,938.2
nets,4,7,555.677
netted,6,7,860.2780000000001
netting,7,7.8,768.0740000000001
nettle,6,14.33,740.571
network,7,10.94,732.212
networks,8,10.94,637.0619999999999
neural,6,12.19,758.048
neuritis,8,14,941.909
neurological,12,13.65,833.7810000000001
neurologist,11,14.22,750.212
neurology,9,14.42,769.5169999999999
neuromuscular,13,16.18,1137.75
neuron,6,12.06,748.529
neuronal,8,13.64,916.154
neuropathology,14,16.13,1103.308
neuroses,8,15.17,964.818
neurosis,8,15.17,874.3209999999999
neurotic,8,13.84,839.182
neuter,6,11.12,823.655
neutral,7,10.19,769.118
neutralist,10,13.18,871.75
neutrality,10,12.11,892.6669999999999
neutralization,14,13.11,835.818
neutralize,10,12,766.909
neutralized,11,12,745.235
neutron,7,11.43,823.533
never,5,5.071,612.9409999999999
new,3,4.72,627.2730000000001
newborn,7,6.9,683.9669999999999
newcomer,8,8.26,787.818
newcomers,9,8.26,676.4119999999999
newer,5,4.72,775.4069999999999
newest,6,4.72,737.677
newfangled,10,11.29,948.75
newfound,8,10.95,830.433
newlywed,8,8.63,809.75
newlyweds,9,8.63,848.6669999999999
news,4,6.16,636.4549999999999
newsagent,9,11.11,1026.562
newsboy,7,7.53,691.2810000000001
newscast,8,7.2,793.613
newscaster,10,9.56,771.5
newsflash,9,9.22,894.656
newsletter,10,9.42,639.2
newsletters,11,9.42,754.971
newsman,7,5.72,807.697
newsmen,7,5.72,811.419
newspaper,9,5.78,600.121
newspaperman,12,7.5,933.968
newspapermen,12,7.5,927
newspapers,10,5.78,688.1469999999999
newsprint,9,10,691.4519999999999
newsreader,10,10.76,887.0649999999999
newsreel,8,10.39,971.474
newsroom,8,8.89,726.686
newsstand,9,9.74,793.7810000000001
newsworthy,10,10,905.133
newt,4,7.56,800.524
next,4,4.346,601.882
nib,3,10.31,867.769
nibble,6,7.37,669.758
nibblers,8,8.26,778.091
nice,4,3.95,561.727
nicer,5,3.95,716.4519999999999
nicest,6,3.95,663.871
niceties,8,12.85,1015
nicety,6,12.85,724.222
niche,5,14.06,706.091
nick,4,7.586,593.719
nicked,6,7.586,758.129
nickel,6,5.75,645.25
nickels,7,5.75,663.3439999999999
nickname,8,6.5,655.6669999999999
nicknamed,9,6.5,676.7810000000001
nicknames,9,6.5,611.0619999999999
nicotine,8,10.22,732.909
niece,5,7,699.094
nieces,6,7,692.933
nifty,5,9.12,876.9169999999999
nigh,4,11.444,736.15
night,5,3.61,540.394
nightcap,8,10.17,643.03
nightclub,9,10.74,645.118
nightclubs,10,10.74,649.818
nightdress,10,9.12,847.594
nightfall,9,8.17,660.629
nightgown,9,5.78,765.4830000000001
nightie,7,7.82,1097.1739999999998
nightingale,11,8.811,898.8669999999998
nightingales,12,8.811,881.692
nightlife,9,10.78,687
nightlight,10,5.21,717.091
nightly,7,8,651.516
nightmare,9,5.94,772.125
nightmares,10,5.94,628.125
nightmarish,11,9.47,1027.241
nights,6,3.61,631.125
nightshirt,10,6.1,728.6
nightstick,10,9.82,781.3669999999998
nighttime,9,3.72,763.25
nihilism,8,16.79,763.5
nihilist,8,16.58,785.25
nihilistic,10,15.36,868
nil,3,12.286,870.8
nimble,6,8.61,747.387
nimrod,6,11.31,872.7330000000001
nincompoop,10,6.82,1034.417
nine,4,3.227,545.382
ninepin,7,11.85,1029
nines,5,3.227,795.172
nineties,8,6.691,853.586
ninety,6,6.691,679.75
ninny,5,9.37,733.611
ninth,5,5.913,648.207
nip,3,7.94,710.741
nipped,6,7.94,667.226
nipple,6,9.05,660.636
nipples,7,9.05,668.9119999999999
nippy,5,8.88,804.889
nips,4,7.94,739.958
nitpick,7,10.35,904.524
nitrate,7,14.12,919.731
nitrates,8,14.12,860.238
nitric,6,11.73,901
nitrogen,8,10.72,685.129
nitroglycerine,14,14.38,1172.522
nitrous,7,13.63,964.25
nitwit,6,10.22,915.136
nix,3,11.88,709.545
no,2,2.716,526.581
nobility,8,11.39,879.429
noble,5,10.67,607.8439999999999
nobleman,8,9.74,826.0619999999999
nobler,6,10.67,959.556
nobles,6,10.67,797.121
noblesse,8,13.75,1187.333
noblest,7,10.67,894.192
nobody,6,5.252,690.656
nocturnal,9,8.89,822.7330000000001
nocturne,8,11.24,982.316
nod,3,5.62,663.129
nodded,6,5.62,750.414
nodding,7,5.62,793.154
node,4,12.17,712.75
nodes,5,12.17,722.643
nods,4,5.62,686.643
nodules,7,13.71,809.0669999999999
noggin,6,6.11,830.538
noise,5,4.5,525.2810000000001
noiseless,9,9.78,847.242
noisemakers,11,8.21,729.515
noises,6,4.5,586.4689999999999
noisier,7,5.33,989.167
noisy,5,5.33,554.091
nomad,5,11.12,855.217
nomadic,7,11.16,888.677
nomenclature,12,14.25,909.35
nominal,7,11.21,772.6790000000001
nominate,8,10.67,780.097
nominated,9,10.67,644.5
nomination,10,11.72,820.8
nominative,10,13.8,966.593
nominee,7,11,787.24
nonaggression,13,12.56,1080.857
nonchalance,11,12.31,862.136
nonchalant,10,12.16,914.645
noncombatant,12,13.6,1177.227
noncommissioned,15,14.33,1124.3
noncommittal,12,15,1031.5929999999998
noncompliance,13,14.5,923.625
nonconformist,13,14.58,910.536
nonconformists,14,14.58,1052.6429999999998
nondescript,11,12.17,1022.211
none,4,5.572,621.161
nonentity,9,13,989.8
nonetheless,11,10.208,767.1880000000001
nonexistent,11,11,834.515
nonfiction,10,8.53,904.233
nonfunctional,13,12.21,904.219
nonintervention,15,12.62,1068.2
nonmetallic,11,10.94,951.846
nonpareil,9,14.67,842.6669999999999
nonpartisan,11,15.35,1053.76
nonpayment,10,10,813.8439999999999
nonplussed,10,13.31,809.5830000000001
nonpolitical,12,14.17,1054.552
nonprofit,9,11.95,697.242
nonproliferation,16,16,1182.6
nonresidential,14,11.78,1023.862
nonsense,8,6.95,673.7940000000001
nonsensical,11,12.33,998.4
nonskid,7,11.29,1058.647
nonsmoker,9,7.74,672.879
nonspecific,11,12.75,923.065
nonstandard,11,14.05,960.6
nonstarter,10,13.05,1027.6819999999998
nonstick,8,9.11,785.938
nonunion,8,14.62,973.2
nonverbal,9,9.53,863.097
nonviolence,11,9.28,792.129
nonviolent,10,8.94,899.138
noodle,6,3.44,697.212
nook,4,9.74,791.9599999999999
nooks,5,9.74,765.5649999999999
noon,4,5.89,619.906
noonday,7,9,840.15
noontide,8,12.82,1044.1429999999998
noontime,8,6.56,812.107
noose,5,8.28,658
nor,3,8.609,735.2860000000001
norm,4,9.84,669.0369999999999
normal,6,5.53,638.529
normalcy,8,12.89,890.091
normality,9,11.75,777.029
normalize,9,11.28,765.606
normally,8,7.202,608.0609999999999
normals,7,5.53,673.2730000000001
normative,9,14.82,888.444
norms,5,9.84,660.25
north,5,6.55,617.9119999999999
northeast,9,7.47,724.706
northeaster,11,12.88,950.731
northeastern,12,10.28,759.235
northerly,9,10.65,849.722
northern,8,7.95,685.03
northerner,10,9.12,922.185
northerners,11,9.12,936.519
northernmost,12,10.15,1105.769
northwest,9,8.22,717.0319999999999
northwestern,12,8.58,809.323
nose,4,2.95,572.314
nosebag,7,11.11,864.65
nosebleed,9,5.32,792.1940000000001
nosedive,8,10.29,980.786
noses,5,2.95,564.7880000000001
nosh,4,12.65,630.875
nosing,6,2.95,791
nostalgia,9,13.21,772.607
nostalgic,9,12.11,750.3669999999998
nostril,7,7.37,705.097
nostrils,8,7.37,675.235
nosy,4,5.47,640.2330000000001
not,3,3.888,632.1880000000001
notable,7,10.37,654.471
notables,8,10.37,848.2
notarize,8,14.11,951.652
notarized,9,14.11,999.966
notary,6,13.56,761.833
notate,6,13.38,772
notation,8,12.78,830.156
notch,5,8.47,728.8059999999999
notches,7,8.47,775.207
note,4,6.4,568.4569999999999
notebook,8,6.37,611.242
notebooks,9,6.37,650.676
noted,5,6.4,613
notepaper,9,6.39,777.8119999999999
notes,5,6.4,554.697
noteworthy,10,9.94,791.742
nothing,7,5.209,666.258
nothingness,11,10.94,770
nothings,8,5.209,679.677
notice,6,7.35,621.97
noticeable,10,8.06,658.515
noticed,7,7.35,675.758
notices,7,7.35,673.258
noticing,8,7.35,743.8389999999999
notification,12,9.44,926.548
notified,8,9.89,768.31
notify,6,9.89,602.8569999999999
notifying,9,9.89,798.8619999999999
noting,6,6.4,658.16
notion,6,11.11,672.938
notions,7,11.11,668.484
notoriety,9,13.81,897.3679999999999
notorious,9,11.53,721.2900000000001
nougat,6,9.07,832.625
noun,4,7.28,660.71
nouns,5,7.28,666.3549999999999
nourish,7,9.63,696.303
nourished,9,9.63,704.25
nourishes,9,9.63,837.4549999999999
nourishment,11,9.94,735.519
novel,5,9.5,657.0880000000001
novelette,9,13.67,865.333
novelist,8,10.26,723.2669999999999
novelists,9,10.26,697.0609999999999
novella,7,14.71,960.529
novels,6,9.5,617.765
novelties,9,11.71,706.097
novelty,7,11.71,722.429
November,8,5.674,716.4
novice,6,10.95,739.036
novices,7,10.95,808.304
now,3,5.252,550.886
nowadays,8,8.609,766.645
nowhere,7,5.412,622.2900000000001
noxious,7,12.72,781.5
nozzle,6,9.32,667.387
nozzles,7,9.32,746.8389999999999
nuance,6,11.05,750.348
nuances,7,11.05,833.125
nub,3,10,879.476
nubile,6,17.43,894.333
nuclear,7,10.83,722.212
nuclei,6,11.4,922.333
nucleus,7,11.4,733.406
nude,4,8.21,636.3439999999999
nudes,5,8.21,708.029
nudge,5,11.05,677.7669999999999
nudged,6,11.05,736.8
nudging,7,11.05,899.2330000000001
nudism,6,12.17,822.8149999999999
nudist,6,10.94,752.581
nudity,6,9.18,755.8119999999999
nugget,6,7.32,732.5880000000001
nuisance,8,9.59,816.645
nuisances,9,9.59,756
numb,4,9.26,646.3439999999999
number,6,3.94,564.4409999999999
numbered,8,3.94,693.121
numbering,9,3.94,771.853
numbers,7,3.94,581.4409999999999
numbing,7,9.26,899.75
numbness,8,9.55,761.0619999999999
numeral,7,8.32,774.1
numerals,8,8.32,705.3639999999999
numerator,9,10.55,764.033
numerical,9,8.72,860.424
numerology,10,12.95,792.9259999999999
numerous,8,8.83,653.094
numinous,8,15.25,962.444
numskull,8,7.83,862.8
nun,3,8.39,604.3439999999999
nunnery,7,13.93,846.0830000000001
nuns,4,8.39,697.594
nuptial,7,13.73,824.8499999999999
nurse,5,5.84,541.1669999999999
nursemaid,9,9.75,784.1850000000001
nursery,7,6.95,678.613
nurses,6,5.84,738.833
nursing,7,8.21,595.571
nursling,8,14.14,899.4
nurture,7,10.94,790.759
nut,3,5.21,645.9119999999999
nutcase,7,7.83,775.909
nutcracker,10,7.24,721.094
nuthouse,8,10.26,1002.333
nutmeg,6,8.83,784
nutrient,8,10.53,643.7740000000001
nutrients,9,10.53,820.4639999999999
nutrition,9,9.74,723.75
nutritional,11,9.72,848.5669999999999
nutritious,10,8.89,813.269
nutritive,9,12.31,731.3119999999999
nuts,4,5.21,571.9119999999999
nutshell,8,6.67,743
nutty,5,7.45,652.033
nuzzle,6,11.35,696.393
nuzzled,7,11.35,744.731
nylon,5,10,645.75
nymph,5,11.21,710.724
nymphomania,11,17.16,1227.136
nymphomaniac,12,15.29,1018.68
nymphomaniacs,13,15.29,1169.667
nymphs,6,11.21,716.516
oaf,3,11.87,629.091
oafs,4,11.87,845.3499999999999
oak,3,7.35,606.0880000000001
oaken,5,11.9,751.8569999999999
oaks,4,7.35,597.091
oar,3,5.83,586.893
oarsman,7,13.72,859.333
oasis,5,9.11,686.882
oat,3,5.83,717.161
oath,4,11.39,613.903
oaths,5,11.39,653.824
oatmeal,7,4.5,627.0649999999999
oats,4,7.49,609.75
obedience,9,8.53,789.235
obedient,8,8.53,800.375
obelisk,7,13.67,844
obese,5,9.39,708.939
obesity,7,11.37,757.8439999999999
obey,4,5.44,589.697
obeyed,6,5.44,726.909
obeying,7,5.44,680.3639999999999
obeys,5,5.44,695.156
obfuscate,9,16.9,760
obfuscation,11,15.71,841.2
obituaries,10,9.44,877.613
obituary,8,9.44,749.613
object,6,7.94,604.6880000000001
objected,8,7.94,738
objectification,15,13.83,1124.433
objecting,9,7.94,652.182
objection,9,9.74,641.176
objectionable,13,11.21,957.781
objections,10,9.74,639.613
objective,9,12.72,656.094
objectives,10,12.72,683.636
objector,8,11.95,849.424
objectors,9,11.95,758.4519999999999
objects,7,7.94,558.933
obligate,8,11.68,888.485
obligated,9,11.68,706.438
obligation,10,10.95,784.438
obligations,11,10.95,755.471
obligatory,10,12.21,815.4639999999999
oblige,6,11.82,765.25
obliged,7,11.82,798.621
oblique,7,12.89,680.25
obliterate,10,12.72,843.8
obliterated,11,12.72,885.5619999999999
obliteration,12,13.16,847.107
oblivion,8,10.94,754.7740000000001
oblivious,9,12.56,805.3209999999999
oblong,6,10.39,778.875
obnoxious,9,7.95,786
oboe,4,10.78,855.714
oboist,6,14.705,891.6669999999999
obscene,7,11.83,721.533
obscenities,11,10.35,984
obscenity,9,10.35,815.2760000000001
obscure,7,11.87,696.0609999999999
obscured,8,11.87,689.438
obscures,8,11.87,706.214
obscurity,9,12.06,718.727
observable,10,10.63,740.4830000000001
observance,10,9.53,775.433
observant,9,9.32,779.394
observation,11,9.32,692.514
observational,13,12.05,965.484
observations,12,9.32,685.735
observatory,11,9.12,772.559
observe,7,9.53,687.171
observed,8,9.53,705.5880000000001
observer,8,9.7,731.091
observers,9,9.7,748.375
observes,8,9.53,727.529
observing,9,9.53,722.4549999999999
obsess,6,10.84,749.04
obsessed,8,9.28,715.059
obsesses,8,10.84,839.7940000000001
obsession,9,9.61,743.3119999999999
obsessions,10,9.61,716.6469999999999
obsessive,9,10.89,729.25
obsidian,8,11.5,844.389
obsolescent,11,15.44,1072.05
obsolete,8,12.28,793.4669999999999
obstacle,8,7.84,763.71
obstacles,9,7.84,676.424
obstetric,9,13.12,1182.591
obstetrician,12,12.56,928.043
obstinate,9,13.11,823.0740000000001
obstruct,8,10.94,840.121
obstructed,10,10.94,821.645
obstruction,11,10.14,868.4689999999999
obtain,6,9.32,724.606
obtained,8,9.32,724.533
obtaining,9,9.32,737.97
obtrude,7,12.6,918
obtrusive,9,14.8,855
obtuse,6,12.06,787.385
obvious,7,9.11,632.031
obviously,9,8.215,647
obviousness,11,9.94,905.036
occasion,8,8.16,611.206
occasional,10,9.05,738.3439999999999
occasionally,12,9.607,787.7940000000001
occasioned,10,8.16,918.68
occasions,9,8.16,711.9409999999999
occidental,10,13.42,898.8119999999999
occipital,9,16.29,882.5419999999999
occluded,8,15.1,1053.778
occlusion,9,14.54,888
occult,6,12.65,756.759
occupancy,9,9.67,625.939
occupant,8,9.95,694.8
occupants,9,9.95,768.219
occupation,10,10.89,731.121
occupational,12,10.33,722.438
occupations,11,10.89,760
occupied,8,8.89,638
occupies,8,8.89,794.258
occupy,6,8.89,650.5
occupying,9,8.89,701.125
occur,5,9.74,592.265
occurred,8,9.74,690.324
occurrence,10,11.44,804.594
occurrences,11,11.44,788.172
occurring,9,9.74,671.939
occurs,6,9.74,649.968
ocean,5,4.74,588.0609999999999
oceanographer,13,12.74,908.094
oceanographic,13,12.83,979.29
oceanography,12,12.71,935.909
oceans,6,4.74,605.722
ocelot,6,10,892.125
ochre,5,13.3,702.143
octagon,7,8,755.4
octagonal,9,11.78,817.9639999999999
octane,6,15.18,720.2330000000001
octave,6,9.39,807.192
octaves,7,9.39,881.7930000000001
octet,5,11.6,901.727
octopus,7,6.26,759.875
ocular,6,13.28,795.607
odd,3,6,615.375
oddball,7,8.86,709.0669999999999
oddities,8,10.53,820.261
oddity,6,10.53,828.9259999999999
odds,4,8.58,616.645
ode,3,10.84,795.792
odious,6,14,855.091
odor,4,6.81,635.727
odorous,7,10.95,950.188
odors,5,6.81,673.545
Odyssey,7,12.6,679.156
Oedipal,7,14.2,910.812
of,2,4.549,620.419
off,3,3.835,530.121
offbeat,7,10.11,741.5669999999999
offence,7,9.89,840.231
offences,8,9.89,802.2080000000001
offend,6,9.67,760.2730000000001
offended,8,9.67,695.059
offender,8,10.85,679.3549999999999
offenders,9,10.85,691.903
offending,9,9.67,701.3449999999999
offense,7,8.61,668.824
offenses,8,8.61,790.655
offensive,9,9.37,753.242
offer,5,7.48,707.5
offered,7,7.48,728.871
offering,8,7.48,635.375
offers,6,7.48,680.6669999999999
offertory,9,10.75,949.6
office,6,6.68,598.6790000000001
officer,7,6.5,658.636
officers,8,6.5,672.161
offices,7,6.68,751
official,8,8.68,674.3549999999999
officials,9,8.68,630.8059999999999
officiate,9,14.56,1056.8
offing,6,13,784.333
offset,6,11.33,716.5619999999999
offshoot,8,13,830.935
offshore,8,10.47,668.645
offspring,9,11.65,676.382
oft,3,9.675,786.5
often,5,6.531,632.5519999999999
oftener,7,6.531,832.5
ogle,4,13.22,807.526
ogled,5,13.22,887.077
ogre,4,8.33,849.0419999999999
ogress,6,12.56,675
oh,2,4.719,600.909
ohm,3,14,761.3
oil,3,7.33,604.059
oilcan,6,7.59,883.375
oilcloth,8,12.53,913.56
oiled,5,7.33,726
oilman,6,11.07,772.577
oils,4,7.33,715.5
oilskin,7,13.79,870.1030000000001
oily,4,7.37,696.424
oink,4,3.44,649.8499999999999
ointment,8,7.9,853.724
ok,2,3.43,556.029
okay,4,3.43,593.212
okra,4,12.61,748.909
old,3,3.72,634.0319999999999
olden,5,9.59,680.118
older,5,3.72,556.097
oldest,6,3.72,684.438
oldies,6,6.94,721.8389999999999
oleander,8,14.75,891.182
olfactory,9,13.46,915.81
oligarch,8,13.93,918.062
oligarchy,9,12.87,899.238
olive,5,6.68,697.529
olives,6,6.68,623.2940000000001
Olympics,8,8.313,631.3639999999999
ombudsman,9,16.62,778.6
omega,5,13.24,676.742
omelet,6,6.5,776.0830000000001
omen,4,12.05,689.903
ominous,7,12.82,723.3449999999999
omission,8,12.5,747.207
omissions,9,12.5,807.8059999999999
omit,4,10.9,691.258
omitted,7,10.9,826.3119999999999
omitting,8,10.9,700
omnibus,7,14.8,900.304
omnipotence,11,14,1009.24
omnipotent,10,11.35,951.783
omnipresent,11,10.94,974.333
omniscience,11,13.12,897.318
omniscient,10,13.47,815.9259999999999
omnivorous,10,11.53,987.75
on,2,4.005,560.059
once,4,4.975,579.8389999999999
oncoming,8,10.39,825.933
one,3,3.227,592.645
oneness,7,11.42,822.9619999999999
onerous,7,13.93,617.6
ones,4,3.227,581.758
onetime,7,8.47,792.226
ongoing,7,8.39,672.258
onion,5,6.05,676.333
onions,6,6.05,612.909
onlooker,8,8.94,829.069
onlookers,9,8.94,768.6
only,4,4.954,550.265
onset,5,10.72,742.125
onshore,7,9.26,848.4549999999999
onside,6,9.67,814.889
onslaught,9,12.33,763.7080000000001
ontological,11,15.15,950.833
ontology,8,16.64,932.4
onus,4,15.92,831
onyx,4,13.29,794.08
oodles,6,8.18,834.3499999999999
oomph,5,9.33,896.4119999999999
ooze,4,7.45,788.63
oozed,5,7.45,733.5
oozy,4,9.3,727.034
opacity,7,12.29,889.706
opal,4,9.28,818.5
opaque,6,13.95,738.097
open,4,5,554.471
opened,6,5,648.935
opener,6,7.17,693.848
opening,7,6.28,556.7810000000001
openings,8,6.28,646.406
opens,5,5,600
opera,5,13.85,617.3639999999999
operable,8,13,795.0369999999999
operate,7,7.11,596.8119999999999
operated,8,7.11,648.125
operates,8,7.11,713.971
operatic,8,12.24,897.72
operating,9,7.11,656.9689999999999
operation,9,7.84,717
operational,11,10.79,782.8119999999999
operations,10,7.84,757.3639999999999
operative,9,9.67,738.968
operator,8,7.95,649.25
operators,9,7.95,671.9309999999999
operetta,8,16,989.316
ophthalmology,13,12.41,1117.6429999999998
opiate,6,14.44,827.227
opiates,7,14.44,750.292
opine,5,13.7,847.2
opinion,7,8.42,623.6880000000001
opinionated,11,10.88,907.071
opinions,8,8.42,655.25
opium,5,12.41,781.8119999999999
opossum,7,8.76,785.1
opponent,8,8.63,707.6669999999999
opponents,9,8.63,719.8439999999999
opportune,9,10.83,908.875
opportunism,11,14.17,817.2669999999999
opportunist,11,13.65,711.071
opportunistic,13,12.21,996.219
opportunities,13,9.72,875.7810000000001
opportunity,11,9.72,715.818
oppose,6,11.05,692.0319999999999
opposes,7,11.05,694.097
opposing,8,8.06,767.0619999999999
opposite,8,5.06,804.394
opposition,10,11.58,701.3639999999999
oppress,7,12.37,829.4119999999999
oppressed,9,11.16,770.548
oppression,10,12.22,794.4830000000001
oppressive,10,12.44,905.207
oppressors,10,13.05,918.121
opted,5,12.62,842.714
optic,5,11,688.8669999999998
optical,7,10.72,607.323
optician,8,11.24,792.5
optics,6,12.63,642.727
optimal,7,13.74,692.531
optimism,8,12.17,686.0619999999999
optimist,8,10.89,732.5880000000001
optimistic,10,11.42,665.235
optimization,12,12.44,952.654
optimum,7,11.44,858.889
option,6,8.79,676.2730000000001
optional,8,8.79,642.8439999999999
options,7,8.79,594.6880000000001
opulence,8,11.73,796.9519999999999
opulent,7,14.71,785.4399999999999
opus,4,13.85,767.875
or,2,4.144,612.4549999999999
oracle,6,11.82,809.484
oracles,7,11.82,791.571
oral,4,9.39,624.848
orange,6,3.26,608.059
oranges,7,3.26,597.485
orangutan,9,7.83,1070.067
orate,5,13.56,818.81
oration,7,13.62,949.55
orations,8,13.62,854.176
orator,6,13,784.8639999999999
oratorio,8,15.1,847.091
orators,7,13,815.8
oratory,7,14.62,784.2
orb,3,11.17,729.526
orbit,5,7.95,650.3119999999999
orbital,7,12.65,752.545
orbiting,8,7.95,731.258
orbits,6,7.95,653.375
orchard,7,7.67,660.1519999999999
orchards,8,7.67,673.548
orchestra,9,9.44,710.909
orchestral,10,11.12,955.036
orchestras,10,9.44,794.8669999999998
orchestrate,11,11.05,868.2860000000001
orchestration,13,11.89,1130.6819999999998
orchestrations,14,11.89,1156.091
orchid,6,9.76,702.333
orchids,7,9.76,714.379
ordain,6,11.35,803.1030000000001
ordained,8,11.35,766.2
ordeal,6,10.06,721.333
order,5,6.26,545.676
ordered,7,6.26,677.212
ordering,8,6.26,658.429
orderliness,11,10.4,863.933
orderly,7,8.33,689.909
orders,6,6.26,596.118
ordinance,9,13.17,778.2730000000001
ordinances,10,13.17,796.594
ordinary,8,8.63,708.848
ordinate,8,12.75,769.258
ordnance,8,14,895.125
ore,3,11.12,754.115
oregano,7,10.88,875.4
ores,4,11.12,824.6669999999999
organ,5,8.72,576.758
organic,7,13.68,668.3639999999999
organism,8,10.61,708.676
organismic,10,14.13,980.037
organisms,9,10.61,783.742
organist,8,7.68,757.333
organization,12,9.16,717.353
organizational,14,11.27,904.469
organizations,13,9.16,757.848
organize,8,6.33,688.394
organized,9,6.33,683.968
organizer,9,9.55,733.069
organizers,10,9.55,669.1940000000001
organizes,9,6.33,747.853
organizing,10,6.33,806.25
organs,6,8.72,626.303
orgasm,6,14.05,716.938
orgasmic,8,15.7,760.97
orgasms,7,14.05,775.5
orgiastic,9,15,804.25
orgies,6,13.95,855.968
orgy,4,13.95,693.516
oriental,8,8.35,720.059
orientate,9,14.2,918.64
orientation,11,11.78,767.75
orientations,12,11.78,855.9669999999999
orifice,7,11.4,817.55
orifices,8,11.4,987.294
origin,6,10.25,629.2730000000001
original,8,7.67,631.303
originality,11,9.58,737.4519999999999
originally,10,8.46,743.594
originals,9,7.67,764.4549999999999
originate,9,9.72,794.515
originated,10,9.72,723.371
originates,10,9.72,828.6880000000001
originating,11,9.72,921.25
origination,11,11.39,905.714
originator,10,12.61,759.5
origins,7,10.25,635.4409999999999
