Word,Length,Age_Of_Acquisition,LDT
affords,7,7.47,704.643
affront,7,12.44,756.444
Afghan,6,9.11,813.1850000000001
Afghans,7,9.11,1036.304
aficionado,10,13.86,776.1669999999999
afire,5,11.87,819.333
aflame,6,11.22,923.217
afloat,6,9.33,883.92
afoot,5,11.476,786.304
aforementioned,14,14.58,1128.688
aforesaid,9,14.44,964.375
aforethought,12,13.72,1106.188
afoul,5,11.81,863.333
afraid,6,4.42,599.594
afro,4,9.58,825.7860000000001
aft,3,13.884,717.1
after,5,5.998,658.0569999999999
afterbirth,10,14.06,806.394
aftercare,9,11.62,1027.484
aftereffect,11,12.06,1446.6
afterglow,9,12.53,774.133
afterlife,9,8.11,784.909
aftermath,9,12.05,664.6669999999999
afternoon,9,4.65,658.034
afternoons,10,4.65,742.853
aftershave,10,10.42,766.375
aftertaste,10,10,921.655
afterthought,12,12.78,716.531
afterwards,10,7.712,699.968
again,5,5.785,577.235
against,7,7.969,634.1519999999999
age,3,4.38,530.9119999999999
ageless,7,10.3,688.0619999999999
agencies,8,10.58,659.594
agency,6,10.58,641.968
agenda,6,9.95,739.03
agent,5,9.55,626.6669999999999
agents,6,9.55,631.706
ages,4,4.38,679.6
agglomerate,11,15.67,1076.667
aggrandize,10,14.83,1023.429
aggravate,9,8.32,821.08
aggravated,10,8.609,751.6
aggravates,10,8.32,925.875
aggravation,11,9.11,839.8969999999999
aggregate,9,13.67,790.1850000000001
aggregation,11,14.56,851.8
aggression,10,9.3,711
aggressions,11,9.3,821.909
aggressive,10,8.32,675.206
aggressiveness,14,11.06,812.75
aggressor,9,11.47,732.8389999999999
aggrieved,9,12.38,926.65
aghast,6,12,693.5930000000001
agile,5,11.94,661.9669999999999
agility,7,10.06,765.038
aging,5,7.35,668.121
agitate,7,10.17,746.0669999999999
agitated,8,10.116,852.484
agitation,9,11.5,934.5
agitator,8,11.84,838.958
agitators,9,11.84,988.048
agleam,6,14.71,1375
aglow,5,10.06,709
agnostic,8,13.8,800.7860000000001
ago,3,7.117,697.8
agonies,7,9.22,824.1030000000001
agonize,7,11.58,756.903
agonizing,9,10.89,720.7810000000001
agony,5,9.22,657.879
agoraphobia,11,14.44,1114.476
agrarian,8,14.83,1054.786
agree,5,7.68,589.8439999999999
agreeable,9,8.41,767.118
agreed,6,7.68,664.03
agreeing,8,7.68,665.25
agreement,9,8.16,668.3
agreements,10,8.16,773.121
agrees,6,7.68,686.5
agricultural,12,10.11,970.207
agriculturalist,15,12.78,995.517
agriculture,11,10.32,784.265
ahead,5,5.454,722.971
ahoy,4,7.61,931.5
aid,3,7.33,580.121
aide,4,7.83,707.207
aided,5,7.33,671.706
aides,5,7.83,815
aiding,6,7.33,796.3209999999999
aids,4,8.89,616.909
ail,3,9.71,711.8499999999999
ailing,6,10.63,725.8
ailment,7,10.37,841.621
ailments,8,10.37,720
aim,3,6.72,646.219
aimed,5,6.72,669.655
aiming,6,6.72,678
aimless,7,10.32,616.909
aims,4,6.72,635.226
air,3,3.94,589.8
airbase,7,10.35,766.818
airborne,8,9.85,716.719
aircraft,8,7.61,647.303
aircrew,7,10.15,833.25
airdrop,7,9.18,832.606
aired,5,3.94,781.7810000000001
airfield,8,8.6,842.7
airfields,9,8.6,781
airflow,7,12.42,827.161
airforce,8,6.83,701.1880000000001
airless,7,10,651.8439999999999
airlift,7,12.06,767.156
airline,7,8.74,698
airliner,8,9.89,686.3549999999999
airlines,8,8.74,611.727
airlock,7,11.61,686.515
airmail,7,12,672.2900000000001
airmen,6,10.58,702.621
airplane,8,3.94,673.7740000000001
airplanes,9,3.94,675.818
airport,7,6.84,619.8439999999999
airports,8,6.84,700.697
airs,4,3.94,734.613
