Pcp,Group,Product,ICAR,AQScore,Age,Gender,Residence,Choice
R_9QVsuwAlhEgWCod,NT,apartment,1,49,46,Female,US,Consistent
R_9R1jITlEH7rhIQl,NT,apartment,8,58,69,Female,US,Consistent
R_9RVKpUK1IzY99jf,NT,apartment,6,58,31,Female,US,Inconsistent
R_9uhEIz1qTh9gupL,NT,apartment,3,53,21,Female,UK,Consistent
R_a4w6mb3Xrg8jacJ,NT,apartment,5,91,47,Male,UK,Inconsistent
R_a5fQ9ltxBvAviF7,NT,apartment,6,68,48,Female,UK,Inconsistent
R_a68ctLsfHb7goWF,NT,apartment,9,71,19,Female,UK,Consistent
R_abecKfEra4zi3Kl,NT,apartment,6,78,23,Female,US,Consistent
R_ag6MD4sIW5Kz92t,NT,apartment,1,56,45,Female,UK,Consistent
R_aVrOLXjWCsl3V9r,NT,apartment,8,56,28,Female,UK,Consistent
R_aWOS6NsWlR13EOh,NT,apartment,7,74,37,Male,UK,Inconsistent
R_aXjvvf80PQ1T8nr,NT,apartment,6,55,51,Male,UK,Consistent
R_aXYeJRUk4IsTWZL,NT,apartment,7,65,51,Female,UK,Consistent
R_aY0kMOCO8yEHtFr,NT,apartment,7,63,54,Male,UK,Consistent
R_b74t2ZfC3XwGvsh,NT,apartment,9,70,45,Female,US,Consistent
R_b7SbC7VofhJIJzD,NT,apartment,7,55,39,Female,UK,Inconsistent
R_b7wo0fPjuhgoVCJ,NT,apartment,13,73,48,Male,US,Inconsistent
R_b9NLgTvUXw89MI5,NT,apartment,15,73,36,Male,UK,Consistent
R_b9qd7yqOgxJxoi1,NT,apartment,4,61,40,Female,UK,Inconsistent
R_batYwNw7GpMVm85,NT,apartment,10,67,64,Male,UK,Consistent
R_bC132hLZhRao3yt,NT,apartment,6,62,53,Male,UK,Consistent
R_bCNLkET5ocitb01,NT,apartment,12,61,50,Female,UK,Consistent
R_bDE4YmuPoVP3XBb,NT,apartment,13,87,24,Female,UK,Inconsistent
R_bdsSaQJ975zwAJv,NT,apartment,11,58,30,Female,UK,Inconsistent
R_bebT2oAWSgO6q2h,NT,apartment,10,77,45,Male,UK,Consistent
R_bf8JvC0PbHgh8EZ,NT,apartment,8,54,43,Female,US,Consistent
R_bIVSm3SAlzt6sHb,NT,apartment,8,71,46,Male,UK,Inconsistent
R_bJ9nGIncpIX5MCF,NT,apartment,6,49,57,Male,US,Consistent
R_bkg5VjjJ9ovsmlD,NT,apartment,3,62,23,Female,UK,Inconsistent
R_bKMy1IF1gKS1pop,NT,apartment,10,63,62,Female,US,Consistent
R_bknLfcbxB4pR94x,NT,apartment,14,75,70,Male,UK,Consistent
R_bpU1psaeWhUHrXD,NT,apartment,2,60,44,Male,UK,Consistent
R_bww5V0RVbfUeFyl,NT,apartment,14,63,24,Female,US,Consistent
R_bybKRz81ZeyxP6d,NT,apartment,7,53,62,Male,UK,Inconsistent
R_cBY5MiKFanSzF9H,NT,apartment,7,68,49,Female,US,Consistent
R_cCmEL384o6mXaXH,NT,apartment,5,46,32,Female,UK,Inconsistent
R_cCN19ERHuVj7KQZ,NT,apartment,6,57,35,Female,US,Inconsistent
R_cHNMyIzqhJenN3v,NT,apartment,11,59,43,Female,US,Consistent
R_cMTW1YF69YluBff,NT,apartment,12,80,54,Male,UK,Consistent
